time-stamp,time_published,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,ticker_sentiment_label
2024-07-16,20240716T204200,0.235524,Somewhat-Bullish,-0.066058,Neutral
2024-07-16,20240716T185900,0.12775,Neutral,0.22174,Somewhat-Bullish
2024-07-16,20240716T180100,0.234901,Somewhat-Bullish,0.110538,Neutral
2024-07-16,20240716T172003,0.385105,Bullish,0.330371,Somewhat-Bullish
2024-07-16,20240716T164000,0.304507,Somewhat-Bullish,0.150098,Somewhat-Bullish
2024-07-16,20240716T162426,0.179018,Somewhat-Bullish,0.0,Neutral
2024-07-16,20240716T154502,0.222324,Somewhat-Bullish,0.278002,Somewhat-Bullish
2024-07-16,20240716T151645,0.115656,Neutral,0.120083,Neutral
2024-07-16,20240716T150500,0.242869,Somewhat-Bullish,-0.056588,Neutral
2024-07-16,20240716T150011,0.254218,Somewhat-Bullish,0.27825,Somewhat-Bullish
2024-07-16,20240716T142102,0.050405,Neutral,0.144047,Neutral
2024-07-16,20240716T140457,0.296884,Somewhat-Bullish,0.157538,Somewhat-Bullish
2024-07-16,20240716T130442,0.246565,Somewhat-Bullish,0.339815,Somewhat-Bullish
2024-07-16,20240716T125436,0.256009,Somewhat-Bullish,0.336425,Somewhat-Bullish
2024-07-16,20240716T121300,0.124523,Neutral,0.377993,Bullish
2024-07-16,20240716T115717,0.060232,Neutral,-0.147177,Neutral
2024-07-16,20240716T115709,0.270667,Somewhat-Bullish,0.327244,Somewhat-Bullish
2024-07-16,20240716T114500,0.182017,Somewhat-Bullish,0.054002,Neutral
2024-07-16,20240716T110500,0.245098,Somewhat-Bullish,-0.066026,Neutral
2024-07-16,20240716T105500,0.429246,Bullish,0.529523,Bullish
2024-07-16,20240716T102006,0.201689,Somewhat-Bullish,0.068236,Neutral
2024-07-16,20240716T102006,0.257815,Somewhat-Bullish,0.067516,Neutral
2024-07-16,20240716T091230,0.212195,Somewhat-Bullish,0.271836,Somewhat-Bullish
2024-07-16,20240716T090200,0.362539,Bullish,0.530181,Bullish
2024-07-16,20240716T075928,0.204159,Somewhat-Bullish,0.100482,Neutral
2024-07-16,20240716T062528,0.048815,Neutral,-0.030276,Neutral
2024-07-16,20240716T030509,0.220763,Somewhat-Bullish,0.164121,Somewhat-Bullish
2024-07-15,20240715T222500,0.231679,Somewhat-Bullish,0.0,Neutral
2024-07-15,20240715T214517,0.299592,Somewhat-Bullish,0.432795,Bullish
2024-07-15,20240715T211500,0.104654,Neutral,0.072886,Neutral
2024-07-15,20240715T210500,0.216706,Somewhat-Bullish,0.058913,Neutral
2024-07-15,20240715T201322,0.218218,Somewhat-Bullish,0.359046,Bullish
2024-07-15,20240715T183426,0.259592,Somewhat-Bullish,0.252102,Somewhat-Bullish
2024-07-15,20240715T162014,0.351027,Bullish,0.0,Neutral
2024-07-15,20240715T155529,0.349924,Somewhat-Bullish,-0.09553,Neutral
2024-07-15,20240715T151039,0.261807,Somewhat-Bullish,0.217702,Somewhat-Bullish
2024-07-15,20240715T144555,0.216207,Somewhat-Bullish,0.38275,Bullish
2024-07-15,20240715T143700,0.140367,Neutral,0.031738,Neutral
2024-07-15,20240715T121200,0.141568,Neutral,0.191038,Somewhat-Bullish
2024-07-15,20240715T120742,0.20867,Somewhat-Bullish,0.005493,Neutral
2024-07-15,20240715T120000,0.330666,Somewhat-Bullish,0.026719,Neutral
2024-07-15,20240715T110932,0.204713,Somewhat-Bullish,0.197823,Somewhat-Bullish
2024-07-15,20240715T110600,0.272636,Somewhat-Bullish,0.178772,Somewhat-Bullish
2024-07-15,20240715T103139,0.311367,Somewhat-Bullish,0.44252,Bullish
2024-07-15,20240715T095000,0.308112,Somewhat-Bullish,0.019463,Neutral
2024-07-15,20240715T085100,0.207336,Somewhat-Bullish,0.286451,Somewhat-Bullish
2024-07-15,20240715T084400,0.135376,Neutral,0.042511,Neutral
2024-07-15,20240715T083200,0.440205,Bullish,0.424995,Bullish
2024-07-15,20240715T074727,0.18932,Somewhat-Bullish,0.245102,Somewhat-Bullish
2024-07-15,20240715T073719,0.309674,Somewhat-Bullish,0.141758,Neutral
2024-07-15,20240715T050700,0.156716,Somewhat-Bullish,0.075468,Neutral
2024-07-15,20240715T011941,-0.017139,Neutral,-0.012631,Neutral
2024-07-14,20240714T220000,0.224149,Somewhat-Bullish,0.36365,Bullish
2024-07-14,20240714T190052,0.198576,Somewhat-Bullish,-0.013844,Neutral
2024-07-14,20240714T163640,0.100779,Neutral,0.086985,Neutral
2024-07-14,20240714T144500,0.195343,Somewhat-Bullish,0.033852,Neutral
2024-07-14,20240714T112417,0.241694,Somewhat-Bullish,0.345371,Somewhat-Bullish
2024-07-14,20240714T110000,0.022334,Neutral,0.124464,Neutral
2024-07-14,20240714T101500,0.31503,Somewhat-Bullish,0.068995,Neutral
2024-07-14,20240714T100800,0.1807,Somewhat-Bullish,0.133238,Neutral
2024-07-14,20240714T090500,0.252975,Somewhat-Bullish,0.36366,Bullish
2024-07-14,20240714T085500,0.175124,Somewhat-Bullish,-0.030986,Neutral
2024-07-13,20240713T133410,0.148528,Neutral,0.075142,Neutral
2024-07-13,20240713T120000,0.257368,Somewhat-Bullish,0.101421,Neutral
2024-07-13,20240713T113200,0.385462,Bullish,0.497159,Bullish
2024-07-13,20240713T112200,0.253673,Somewhat-Bullish,0.191874,Somewhat-Bullish
2024-07-13,20240713T104500,0.277358,Somewhat-Bullish,0.371773,Bullish
2024-07-13,20240713T094500,0.252335,Somewhat-Bullish,0.1268,Neutral
2024-07-13,20240713T091200,0.123304,Neutral,0.145803,Neutral
2024-07-13,20240713T061657,0.141441,Neutral,0.045096,Neutral
2024-07-12,20240712T222751,0.180934,Somewhat-Bullish,0.034084,Neutral
2024-07-12,20240712T204331,0.133,Neutral,0.0,Neutral
2024-07-12,20240712T193949,0.266331,Somewhat-Bullish,0.305444,Somewhat-Bullish
2024-07-12,20240712T184237,0.168651,Somewhat-Bullish,0.095071,Neutral
2024-07-12,20240712T155400,0.183381,Somewhat-Bullish,0.0,Neutral
2024-07-12,20240712T152448,0.026641,Neutral,0.149692,Neutral
2024-07-12,20240712T144156,-0.094679,Neutral,-0.142869,Neutral
2024-07-12,20240712T141400,-0.041305,Neutral,0.059364,Neutral
2024-07-12,20240712T124413,0.202009,Somewhat-Bullish,0.267072,Somewhat-Bullish
2024-07-12,20240712T122200,0.043309,Neutral,0.033658,Neutral
2024-07-12,20240712T115200,0.453944,Bullish,0.569563,Bullish
2024-07-12,20240712T114152,0.310462,Somewhat-Bullish,0.417373,Bullish
2024-07-12,20240712T112200,0.365443,Bullish,0.527337,Bullish
2024-07-12,20240712T110000,0.118959,Neutral,0.03841,Neutral
2024-07-12,20240712T103100,0.052677,Neutral,0.041165,Neutral
